Name,Formula,Label,sample_1,sample_2,sample_3,sample_5,sample_6,sample_8,sample_9,sample_11,sample_12
L-Methionine,C5H10NO2S,C12 PARENT,3669565,3354688,6681256,6533572,2661210,653205.3,6619542,1706625,0
L-Methionine,C5H10NO2S,C13-label-1,155707,170952.4,366000.1,341863.5,155140.4,36216.43,255527.1,95657.85,34087.6
L-Methionine,C5H10NO2S,C13-label-2,0,1993.996,4893.333,2831.92,0,0,2561.678,0,0
L-Methionine,C5H10NO2S,C13-label-3,0,0,0,0,0,0,0,0,0
L-Methionine,C5H10NO2S,C13-label-4,0,0,0,0,0,0,0,0,0
L-Methionine,C5H10NO2S,N15-label-1,3099.053,4803.446,11594.84,8803.968,1649.552,0,53096.25,2445.116,9013.431
L-Methionine,C5H10NO2S,C13N15-label-1-1,0,0,0,0,0,0,0,0,0
L-Methionine,C5H10NO2S,C13N15-label-2-1,3240.703,6059.439,0,3272.313,0,0,2566.192,2540.993,0
L-Methionine,C5H10NO2S,C13N15-label-4-1,48546.84,46958.52,47503.41,0,0,0,51072.64,59294.45,31934.75
L-Methionine,C5H10NO2S,C13N15-label-5-1,0,0,0,0,0,2044.121,0,0,0