,Name,Formula,Label,Sample Name,Intensity,info1,info2,Parent,tups
0,L-Methionine,C5H10NO2S,C12 PARENT,sample_1,3669565.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
1,L-Methionine,C5H10NO2S,C13-label-1,sample_1,155707.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
2,L-Methionine,C5H10NO2S,C13-label-2,sample_1,0.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
3,L-Methionine,C5H10NO2S,C13-label-3,sample_1,0.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
4,L-Methionine,C5H10NO2S,C13-label-4,sample_1,0.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
5,L-Methionine,C5H10NO2S,N15-label-1,sample_1,3099.053,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
6,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_1,0.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
7,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_1,3240.703,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
8,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_1,48546.84,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
9,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_1,0.0,cellline_1,culture_1,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
10,L-Methionine,C5H10NO2S,C12 PARENT,sample_2,3354688.0,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
11,L-Methionine,C5H10NO2S,C13-label-1,sample_2,170952.4,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
12,L-Methionine,C5H10NO2S,C13-label-2,sample_2,1993.996,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
13,L-Methionine,C5H10NO2S,C13-label-3,sample_2,0.0,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
14,L-Methionine,C5H10NO2S,C13-label-4,sample_2,0.0,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
15,L-Methionine,C5H10NO2S,N15-label-1,sample_2,4803.446,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
16,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_2,0.0,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
17,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_2,6059.439,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
18,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_2,46958.52,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
19,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_2,0.0,cellline_2,culture_2,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
20,L-Methionine,C5H10NO2S,C12 PARENT,sample_3,6681256.0,cellline_3,culture_3,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
21,L-Methionine,C5H10NO2S,C13-label-1,sample_3,366000.1,cellline_3,culture_3,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
22,L-Methionine,C5H10NO2S,C13-label-2,sample_3,4893.333,cellline_3,culture_3,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
23,L-Methionine,C5H10NO2S,C13-label-3,sample_3,0.0,cellline_3,culture_3,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
24,L-Methionine,C5H10NO2S,C13-label-4,sample_3,0.0,cellline_3,culture_3,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
25,L-Methionine,C5H10NO2S,N15-label-1,sample_3,11594.84,cellline_3,culture_3,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
26,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_3,0.0,cellline_3,culture_3,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
27,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_3,0.0,cellline_3,culture_3,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
28,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_3,47503.41,cellline_3,culture_3,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
29,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_3,0.0,cellline_3,culture_3,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
30,L-Methionine,C5H10NO2S,C12 PARENT,sample_5,6533572.0,cellline_5,culture_5,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
31,L-Methionine,C5H10NO2S,C13-label-1,sample_5,341863.5,cellline_5,culture_5,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
32,L-Methionine,C5H10NO2S,C13-label-2,sample_5,2831.92,cellline_5,culture_5,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
33,L-Methionine,C5H10NO2S,C13-label-3,sample_5,0.0,cellline_5,culture_5,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
34,L-Methionine,C5H10NO2S,C13-label-4,sample_5,0.0,cellline_5,culture_5,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
35,L-Methionine,C5H10NO2S,N15-label-1,sample_5,8803.968,cellline_5,culture_5,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
36,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_5,0.0,cellline_5,culture_5,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
37,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_5,3272.313,cellline_5,culture_5,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
38,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_5,0.0,cellline_5,culture_5,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
39,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_5,0.0,cellline_5,culture_5,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
40,L-Methionine,C5H10NO2S,C12 PARENT,sample_6,2661210.0,cellline_6,culture_6,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
41,L-Methionine,C5H10NO2S,C13-label-1,sample_6,155140.4,cellline_6,culture_6,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
42,L-Methionine,C5H10NO2S,C13-label-2,sample_6,0.0,cellline_6,culture_6,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
43,L-Methionine,C5H10NO2S,C13-label-3,sample_6,0.0,cellline_6,culture_6,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
44,L-Methionine,C5H10NO2S,C13-label-4,sample_6,0.0,cellline_6,culture_6,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
45,L-Methionine,C5H10NO2S,N15-label-1,sample_6,1649.552,cellline_6,culture_6,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
46,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_6,0.0,cellline_6,culture_6,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
47,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_6,0.0,cellline_6,culture_6,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
48,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_6,0.0,cellline_6,culture_6,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
49,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_6,0.0,cellline_6,culture_6,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
50,L-Methionine,C5H10NO2S,C12 PARENT,sample_8,653205.3,cellline_8,culture_8,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
51,L-Methionine,C5H10NO2S,C13-label-1,sample_8,36216.43,cellline_8,culture_8,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
52,L-Methionine,C5H10NO2S,C13-label-2,sample_8,0.0,cellline_8,culture_8,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
53,L-Methionine,C5H10NO2S,C13-label-3,sample_8,0.0,cellline_8,culture_8,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
54,L-Methionine,C5H10NO2S,C13-label-4,sample_8,0.0,cellline_8,culture_8,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
55,L-Methionine,C5H10NO2S,N15-label-1,sample_8,0.0,cellline_8,culture_8,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
56,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_8,0.0,cellline_8,culture_8,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
57,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_8,0.0,cellline_8,culture_8,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
58,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_8,0.0,cellline_8,culture_8,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
59,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_8,2044.121,cellline_8,culture_8,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
60,L-Methionine,C5H10NO2S,C12 PARENT,sample_9,6619542.0,cellline_9,culture_9,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
61,L-Methionine,C5H10NO2S,C13-label-1,sample_9,255527.1,cellline_9,culture_9,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
62,L-Methionine,C5H10NO2S,C13-label-2,sample_9,2561.678,cellline_9,culture_9,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
63,L-Methionine,C5H10NO2S,C13-label-3,sample_9,0.0,cellline_9,culture_9,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
64,L-Methionine,C5H10NO2S,C13-label-4,sample_9,0.0,cellline_9,culture_9,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
65,L-Methionine,C5H10NO2S,N15-label-1,sample_9,53096.25,cellline_9,culture_9,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
66,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_9,0.0,cellline_9,culture_9,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
67,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_9,2566.192,cellline_9,culture_9,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
68,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_9,51072.64,cellline_9,culture_9,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
69,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_9,0.0,cellline_9,culture_9,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
70,L-Methionine,C5H10NO2S,C12 PARENT,sample_11,1706625.0,cellline_11,culture_11,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
71,L-Methionine,C5H10NO2S,C13-label-1,sample_11,95657.85,cellline_11,culture_11,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
72,L-Methionine,C5H10NO2S,C13-label-2,sample_11,0.0,cellline_11,culture_11,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
73,L-Methionine,C5H10NO2S,C13-label-3,sample_11,0.0,cellline_11,culture_11,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
74,L-Methionine,C5H10NO2S,C13-label-4,sample_11,0.0,cellline_11,culture_11,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
75,L-Methionine,C5H10NO2S,N15-label-1,sample_11,2445.116,cellline_11,culture_11,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
76,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_11,0.0,cellline_11,culture_11,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
77,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_11,2540.993,cellline_11,culture_11,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
78,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_11,59294.45,cellline_11,culture_11,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
79,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_11,0.0,cellline_11,culture_11,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
80,L-Methionine,C5H10NO2S,C12 PARENT,sample_12,0.0,cellline_12,culture_12,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
81,L-Methionine,C5H10NO2S,C13-label-1,sample_12,34087.6,cellline_12,culture_12,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
82,L-Methionine,C5H10NO2S,C13-label-2,sample_12,0.0,cellline_12,culture_12,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
83,L-Methionine,C5H10NO2S,C13-label-3,sample_12,0.0,cellline_12,culture_12,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
84,L-Methionine,C5H10NO2S,C13-label-4,sample_12,0.0,cellline_12,culture_12,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
85,L-Methionine,C5H10NO2S,N15-label-1,sample_12,9013.431,cellline_12,culture_12,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
86,L-Methionine,C5H10NO2S,C13N15-label-1-1,sample_12,0.0,cellline_12,culture_12,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
87,L-Methionine,C5H10NO2S,C13N15-label-2-1,sample_12,0.0,cellline_12,culture_12,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
88,L-Methionine,C5H10NO2S,C13N15-label-4-1,sample_12,31934.75,cellline_12,culture_12,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
89,L-Methionine,C5H10NO2S,C13N15-label-5-1,sample_12,0.0,cellline_12,culture_12,L-Methionine,"('L-Methionine', 'C5H10NO2S')"
